Racquet,Overall,Groundstrokes,Volleys,Serves,Returns,Power,Control,Maneuverability,Stability,Comfort,TouchFeel,Topspin,Slice,Price
Babolat Pure Aero 2023,84,84,83,84,86,83,80,85,81,82,81,89,82,$269.00
Babolat Pure Aero 98 2023,,,,,,,,,,,,,,$279.00
Babolat Pure Aero 2026,,,,,,,,,,,,,,$299.00
Babolat Pure Aero 98 2026 Review,8.9,,,,,,,,,,,,,$309.00
Babolat Pure Aero Plus 2026 Review,,,,,,,,,,,,,,$299.00
Babolat Pure Aero Plus 2023,86,87,83,91,81,88,81,79,87,82,80,89,82,$269.00
Babolat Pure Aero Team 2023,80,80,79,81,79,83,76,90,72,75,78,88,78,$269.00
Babolat Pure Drive 2025 Review,,,,,,,,,,,,,,$299.00
Babolat Pure Drive 98 2025,8.5,,,,,,,,,,,,,$619.00
Babolat Pure Drive Plus 2025 Review,,,,,,,,,,,,,,$299.00
Babolat Pure Strike 16x20 2024,8.3,,,,,,,,,,,,,
Babolat Pure Strike 100 2024,8.2,,,,,,,,,,,,,
Babolat Pure Strike 97 2024,8.7,,,,,,,,,,,,,
Babolat Pure Strike 97 2024,8.7,,,,,,,,,,,,,$299.00
Babolat Pure Strike 98 16x19 2024,8.6,,,,,,,,,,,,,$149.00
Babolat Pure Strike 98 18x20 2024,8.1,,,,,,,,,,,,,$289.00
Babolat Pure Strike 98 16x19 2024,8.6,,,,,,,,,,,,,$149.00
Dunlop FX 500 Review,,,,,,,,,,,,,,$249.99
Dunlop FX 500 Tour,,,,,,,,,,,,,,$249.99
Dunlop CX 200 18x20 Limited Edition Review,,,,,,,,,,,,,,$249.99
Dunlop CX 400 Tour Racqut Review,8,,,,,,,,,,,,,$249.99
Dunlop CX 200 2024,8.5,,,,,,,,,,,,,$249.99
Dunlop FX 500 Tour,81,82,82,82,80,82,79,86,79,79,81,88,79,$199.00
Dunlop CX 200 Tour 16x19 2024,8.7,,,,,,,,,,,,,$249.99
Dunlop CX 200 Tour 18x20,8.6,,,,,,,,,,,,,$249.99
Dunlop SX 300 Tour 2025,,,,,,,,,,,,,,$249.99
Dunlop SX 300 2025 Tennis,,,,,,,,,,,,,,$249.99
Dunlop CX 400 Tour Racqut Review,8,,,,,,,,,,,,,$249.99
Dunlop CX 200 2024,8.5,,,,,,,,,,,,,$249.99
Head Boom MP 2024,,,,,,,,,,,,,,$179.00
Head Boom MP 2024,,,,,,,,,,,,,,$179.00
Head Graphene 360+ Extreme MP,84,81,85,85,81,88,79,82,85,80,85,85,84,$139.00
Head Radical Pro 2021,85,86,84,82,82,81,82,85,82,83,82,83,82,$139.00
Head Speed MP 2024,,,,,,,,,,,,,,$169.00
Head Speed Pro 2024,9.3,,,,,,,,,,,,,$169.00
Head Gravity MP XL 2025,8.7,,,,,,,,,,,,,$269.00
Head Radical Tour 2025,,,,,,,,,,,,,,$269.00
HEAD Speed Tour Review,8.8,,,,,,,,,,,,,$269.00
Head Radical MP 2023,84,85,80,84,80,84,84,83,83,84,82,84,83,$169.00
Head Radical Pro 2023,85,87,84,83,84,82,84,78,86,84,83,84,84,$169.00
Head Boom Pro 2024,8.3,,,,,,,,,,,,,$179.00
Head Extreme MP 2024,8.3,,,,,,,,,,,,,$259.00
Head Gravity MP 2025,8.5,,,,,,,,,,,,,$259.00
Head Gravity Pro 2025,8.5,,,,,,,,,,,,,$269.00
Head Gravity Tour 2025 Review,,,,,,,,,,,,,,$269.00
Head Instinct MP 2025 Tennis,7.9,,,,,,,,,,,,,$149.00
Head Prestige MP L 2023,,,,,,,,,,,,,,$249.00
Head Prestige MP 2023,8.4,,,,,,,,,,,,,$259.00
Head Prestige Pro 2023,8.5,,,,,,,,,,,,,$269.00
Head Prestige Tour 2023,8.4,,,,,,,,,,,,,$269.00
Head Radical MP 2025 Review,,,,,,,,,,,,,,$259.00
Head Radical Pro 2025,8.4,,,,,,,,,,,,,$269.00
Head Speed MP Legend 2025 Review,7.9,,,,,,,,,,,,,$259.00
Head Speed Pro Legend 2025,,,,,,,,,,,,,,$269.00
Head Boom MP 2024,,,,,,,,,,,,,,$129.00
Head Extreme Pro 2024,7.8,,,,,,,,,,,,,$269.00
Prince ATS Textreme Tour 98,91,93,89,91,88,81,87,89,88,88,87,86,85,$199.00
Prince Phantom 100P 2024,,,,,,,,,,,,,,$199.00
Prince Phantom 100X 305g,,,,,,,,,,,,,,$199.00
Prince Phantom 107G 2024," more than anything else, and at the end of the day, isn't that what it's all about?",,,,,,,,,,,,,$199.00
Prince Ripcord 100 300g,8.3,,,,,,,,,,,,,$219.00
Prince Ripstick 100 300g Tennis,8.4,,,,,,,,,,,,,$219.00
Prince Ripstick 98,,,,,,,,,,,,,,$229.00
Prince ATS Textreme Tour 100 310,84,84,84,82,82,82,83,80,85,86,86,84,84,$199.00
Prince ATS Textreme Tour 100P,86,86,84,84,85,81,86,88,83,85,85,84,85,$199.00
Prince ATS Textreme Tour 95,85,84,84,84,81,78,86,79,86,87,87,83,85,$199.00
Prince O3 Phantom 100X (310g) ,8.1,,,,,,,,,,,,,$219.00
Prince Phantom 100X 18x20 2024,8.1,,,,,,,,,,,,,$199.00
Prince Phantom 100X 290,8.1,,,,,,,,,,,,,$199.00
Prince Twistpower X100,86,85,82,85,84,88,81,91,81,83,85,87,81,$179.00
Prince Twistpower X105 (290g),84,84,83,81,81,87,79,90,75,85,81,84,81,$179.00
ProKennex Black Ace Pro,8.7,,,,,,,,,,,,,$249.00
Pro Kennex Kinetic Pro 7g Review,,,,,,,,,,,,,,
ProKennex Black Ace 315,78,77,77,81,77,75,78,79,79,87,80,82,77,$199.00
ProKennex BlackAce (300) Review,7.8,,,,,,,,,,,,,$249.00
ProKennex Black Ace (315),,,,,,,,,,,,,,$249.00
Solinco Whiteout 305 XTD 18x20 v2,8.7,,,,,,,,,,,,,$239.99
Solinco Blackout 300 v2,8.5,,,,,,,,,,,,,$239.99
Solinco Blackout 300 XTD v2,,,,,,,,,,,,,,$239.99
Solinco Whiteout 305 v2 Camo,,,,,,,,,,,,,,$239.99
Solinco Blackout 300 XTD+,8,,,,,,,,,,,,,$229.99
Solinco Whiteout 305 XTD 18x20," was very pleased with how this Whiteout 305 XTD 18x20 felt on serves and how well he could hit his targets. He added, ""An obvious trade-off with this 18x20 version compared to the 16x19 XTD was the ease with which I could generate spin and get bite on the ball. That said, even though I had a little less bite and spin on my serves with this Whiteout 305 XTD 18x20, I felt like my overall placement and precision increased and allowed me to be just as effective. On my flat first serve, I was getting some solid pace from the extended length, and I felt like my consistency was improved compared to the 16x19 version of this racquet and the Babolat Pure Aero Plus 2023. It took me a little bit of an adjustment period to get used to the trajectory of this 18x20 on my slice and kick serves, but once I got dialed in, I felt pretty comfortable being aggressive with my racquet speed.""",,,,,,,,,,,,,$229.99
Solinco Whiteout 305 18x20,,,,,,,,,,,,,,$229.99
Solinco Blackout 300,82,82,82,84,83,90,77,85,82,79,79,90,81,$229.99
Solinco Whiteout 305,85,86,85,85,83,83,84,82,84,82,80,88,82,$229.99
Solinco Whiteout 305 XTD,84,86,84,90,81,88,80,76,87,77,78,84,85,$229.99
Solinco Blackout 300 XTD,81,81,82,89,81,93,76,77,87,79,80,83,85,$229.99
Solinco Whiteout 305 XTD+,,,,,,,,,,,,,,$229.99
Solinco Whiteout 305 XTD v2 Tennis,8.4,,,,,,,,,,,,,$239.99
Solinco Whiteout 305 18x20 Camo V2 Review,,,,,,,,,,,,,,$239.99
Solinco Whiteout 305 v2,,,,,,,,,,,,,,$300.00
Tecnifibre TFight 315S Review,8.3,,,,,,,,,,,,,$279.00
Tecnifibre TFight 300S,,,,,,,,,,,,,,$269.00
Tecnifibre TFight 305S,8.7,,,,,,,,,,,,,$279.00
Tecnifibre TFight 300,8.1,,,,,,,,,,,,,$269.00
Tecnifibre TF40 290g,,,,,,,,,,,,,,$249.00
Tecnifibre TFight ISO 305,85,84,83,86,83,81,84,77,87,83,83,81,85,$149.00
Tecnifibre TF40 305 (18x20),85,85,85,85,86,80,86,81,85,84,85,82,88,$99.00
Tecnifibre TFight 300,8.1,,,,,,,,,,,,,$269.00
Volkl Vostra V1 MP,,,,,,,,,,,,,,$269.99
Volkl Vostra V1 Pro,8,,,,,,,,,,,,,$269.99
Volkl V-Cell V1 Pro,80,80,80,80,79,83,78,85,79,80,79,84,82,$129.00
Volkl V-Feel V8 Pro,81,80,82,83,80,84,80,83,81,78,79,83,79,$179.99
Volkl Vostra V10 300g,8.2,,,,,,,,,,,,,$249.99
Volkl Vostra V10 320g,,,,,,,,,,,,,,$249.99
Volkl Vostra 7 Review,8.1,,,,,,,,,,,,,$239.99
Volkl Vostra V8 300g Tennis,,,,,,,,,,,,,,$249.99
Volkl Vostra 8 315g,,,,,,,,,,,,,,$249.99
Volkl Vostra V9 290g," provides great maneuverability, immense spin and tremendous forgiveness, making it an excellent choice for the upcoming intermediate player seeking a lightweight performance racquet that offers precise targeting and exceptional feel.",,,,,,,,,,,,,$249.99
Volkl Vostra V9 305g Tennis,,,,,,,,,,,,,,$249.99
Volkl C10 EVO,83,80,85,81,75,76,86,84,80,91,89,84,83,$119.00
Volkl C10 Pro 2022,85,82,87,84,79,79,87,79,87,92,89,84,86,$119.00
Volkl V-Cell 10 300g,81,76,84,79,78,79,78,86,80,85,79,89,86,$99.00
Volkl V-Cell 10 320g,80,80,83,82,79,76,80,80,82,76,77,83,83,$99.00
Volkl V1 EVO,81,82,83,75,80,80,80,85,78,90,82,76,75,$119.00
Wilson Blade Pro 98 16x19 v9,,,,,,,,,,,,,,$269.00
Wilson Hyper Hammer 5.3 Stretch,,,,,,,,,,,,,,
Wilson Shift 99,8.2,,,,,,,,,,,,,$149.00
Wilson Blade 98s V9 Review,8.3,,,,,,,,,,,,,$269.00
Wilson Clash 100 Pro v2,82,80,80,84,78,87,76,82,81,85,77,82,80,$109.00
Wilson Clash 100 v3 Review,,,,,,,,,,,,,,$299.00
Wilson Pro Staff 97 Classic,8,,,,,,,,,,,,,$299.00
Wilson Blade 100 v9,-Brittany,,,,,,,,,,,,,$269.00
Wilson Blade 104 v9,8.4,,,,,,,,,,,,,$269.00
Wilson Blade 98 16x19 v9 Review,8.7,,,,,,,,,,,,,$269.00
Wilson Blade 98 18x20 v9,8.4,,,,,,,,,,,,,$269.00
Wilson Blade Pro 18x20 v9,8.7,,,,,,,,,,,,,$269.00
Wilson Clash 100 Pro v3,8.8,,,,,,,,,,,,,$299.00
Wilson Clash 100 v3 Review,,,,,,,,,,,,,,
Wilson Pro Staff Six.One 100 v14,8.4,,,,,,,,,,,,,$169.00
Wilson Pro Staff Six.One 95 v14,,,,,,,,,,,,,,$219.00
Wilson Pro Staff X v14,82,83,85,80,82,76,80,84,85,85,85,74,89,$169.00
Wilson RF 01 Future,8.1,,,,,,,,,,,,,$309.00
Wilson RF 01 Pro,8.8,,,,,,,,,,,,,$349.00
Wilson RF 01," liked serving with this racquet, especially on first serves. He said, ""I had a better percentage of first serve than usual. It was a good first shot to start the rally and drive the point.""",,,,,,,,,,,,,$329.00
WIlson Shift 99 Pro,8.5,,,,,,,,,,,,,$149.00
Wilson Shift 99,8.2,,,,,,,,,,,,,$149.00
Wilson Shift 99,8.2,,,,,,,,,,,,,$149.00
Wilson Ultra 100 v5,,,,,,,,,,,,,,$299.00
Wilson Ultra Pro 99 v5,,,,,,,,,,,,,,$299.00
Wilson Ultra Pro 16x19 v4,8,,,,,,,,,,,,,$159.00
Wilson Ultra Pro 18x20 v4,,,,,,,,,,,,,,$159.00
Yonex Percept 97 racquet Review,,,,,,,,,,,,,,$305.00
Yonex VCORE 100 8th Gen,8.2,,,,,,,,,,,,,$305.00
YONEX VCORE 98 2026 Review,8.2,,,,,,,,,,,,,$305.00
 Yonex EZONE 100 (2025),9,,,,,,,,,,,,,$305.00
Yonex EZONE 100+ 2025,8,,,,,,,,,,,,,$305.00
Yonex EZONE 98 (2025),9,,,,,,,,,,,,,$305.00
Yonex Percept 100D,,,,,,,,,,,,,,$305.00
Yonex Percept 100D,,,,,,,,,,,,,,$305.00
Yonex Percept 97 racquet Review,,,,,,,,,,,,,,$305.00
Yonex Percept 97D,8.2,,,,,,,,,,,,,$305.00
Yonex VCORE 95,83,85,83,83,79,76,84,80,80,90,85,84,80,$179.00